scenario,seed,planner,success,length,max_kappa,elapsed,collision_free,cv,cv_opt,feasible,n_obs,kappa_max,radius,nsampling,th_start,th_goal,start_x,start_y,goal_x,goal_y,xmin,xmax,ymin,ymax
prog03_seed1,1,rrt_star_dubins,True,3.4558172035339707,1.36986301369863,18.752930513000024,True,1.8039143120521417,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed1,1,modified_dubins_rrt_star_ccpoa,True,10.708890596522364,1.36986301369863,472.625993364,False,24.662011002421295,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed1,1,rrt_star_asv,True,3.4067972231274166,1.3698630136991512,422.583073174,True,1.0622582313470907,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed1,1,de2d_nurbs,True,3.4390113414659,1.432647325257964,0.9655718999999863,True,0.0,0.6877922682931801,True,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed1,1,pso2d_nurbs,True,3.440247862549702,1.587174635766615,5.02112524000006,True,0.0,0.17201041218184626,True,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,rrt_star,True,3.416073717771291,,2.5459572420000995,True,0.0,,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,rrt_star_smooth,True,3.37507533450007,0.4436772680522891,1.189099858000077,True,0.0,,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,rrt_star_dubins,True,3.414809440831968,1.36986301369863,19.416974937000077,True,1.465316915206237,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,modified_dubins_rrt_star_ccpoa,True,10.708890596522364,1.36986301369863,206.73480597800005,False,24.713134490214422,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,rrt_star_asv,True,3.5670920569462656,1.3698630136989864,1417.9029467600003,True,0.9476468402269947,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,de2d_nurbs,True,3.4345718512994248,1.5613898390712733,1.082853655000008,True,0.0,0.686904370259885,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed1,1,pso2d_nurbs,True,3.4175006594056785,1.5798731827359072,5.025049265000007,True,0.0,0.17089742218814613,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed1,1,rrt_star,True,3.416073717771291,,1.2754034060000095,True,0.0,,True,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed1,1,rrt_star_smooth,True,3.37507533450007,0.4436772680522891,1.2940185899999506,True,0.0,,True,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed1,1,rrt_star_dubins,True,16.6620924286033,1.36986301369863,16.892614798000068,True,212.9131721283117,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed1,1,modified_dubins_rrt_star_ccpoa,True,10.708890596522364,1.36986301369863,212.68504654899994,False,24.713134490214422,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed1,1,rrt_star_asv,True,3.5670920569462656,1.3698630136989864,389.091718676,True,0.9476468402269947,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed1,1,de2d_nurbs,True,3.440859243682998,1.3439217976008369,1.1941648289999875,True,0.0,0.6881618487365997,True,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
